u,v,weight
ABAT,THNSL2,1.0
ABAT,TWF2,1.0
ABCA1,AOX1,1.0
ABCA1,APOA1,1.0
ABCA1,ARHGEF11,1.0
ABCA1,ARHGEF12,1.0
ABCA1,CREBBP,1.0
ABCA1,DLG2,1.0
ABCA1,DLG3,1.0
ABCA1,DLG5,1.0
ABCA1,ERBB2IP,1.0
ABCA1,FADD,1.0
ABCA1,GOPC,1.0
ABCA1,HGS,1.0
ABCA1,LIMK1,1.0
ABCA1,LIN7A,1.0
ABCA1,LIN7B,1.0
ABCA1,LIN7C,1.0
ABCA1,MPDZ,1.0
ABCA1,MPP6,1.0
ABCA1,PDLIM3,1.0
ABCA1,PDLIM4,1.0
ABCA1,PDZK1,1.0
ABCA1,PLTP,1.0
ABCA1,PRKACA,1.0
ABCA1,PRPF8,1.0
ABCA1,SDHB,1.0
ABCA1,SHANK1,1.0
ABCA1,SLC25A34,1.0
ABCA1,SNTA1,1.0
ABCA1,SNTB1,1.0
ABCA1,SNTB2,1.0
ABCA1,SPTLC1,1.0
ABCA1,TIAM1,1.0
ABCA1,TRIM27,1.0
ABCA1,UBC,1.0
ABCA1,UGP2,1.0
ABCA1,XPC,1.0
ABCA12,VCL,1.0
ABCA2,CDK5RAP2,1.0
ABCA4,CNGB1,1.0
ABCA9,DEDD,1.0
ABCB1,CAV1,1.0
ABCB1,DHX9,1.0
ABCB1,HAX1,1.0
ABCB1,LAPTM4B,1.0
ABCB1,LSM4,1.0
ABCB1,LSM5,1.0
ABCB1,PHB2,1.0
ABCB1,RNF2,1.0
ABCB11,HAX1,1.0
ABCB4,HAX1,1.0
ABCB5,PSMB5,1.0
ABCB5,PSMB9,1.0
ABCB6,PIK3R3,1.0
ABCB6,TSG101,1.0
ABCB7,FECH,1.0
ABCB8,C4orf14,1.0
ABCB8,SAT1,1.0
ABCC12,VCPIP1,1.0
ABCC2,CANX,1.0
ABCC2,PDZD3,1.0
ABCC2,PDZK1,1.0
ABCC2,RDX,1.0
ABCC2,SLC9A3R1,1.0
ABCC3,MLH1,1.0
ABCC4,ERBB2IP,1.0
ABCC4,HAX1,1.0
ABCC6,VCL,1.0
ABCC8,CRYBB1,1.0
ABCC8,ENSA,1.0
ABCC8,KCNJ11,1.0
ABCC8,KCNJ8,1.0
ABCC8,RAPGEF4,1.0
ABCC9,EEF1G,1.0
ABCC9,KCNJ11,1.0
ABCC9,KCNJ8,1.0
ABCC9,LDHA,1.0
ABCC9,STX1A,1.0
ABCD1,ABCD2,1.0
ABCD1,ABCD3,1.0
ABCD1,PEX19,1.0
ABCD1,POT1,1.0
ABCD1,TERF2,1.0
ABCD2,ABCD3,1.0
ABCD2,ATP9B,1.0
ABCD2,CDK8,1.0
ABCD2,CHMP6,1.0
ABCD2,MSH4,1.0
ABCD2,ORC1,1.0
ABCD2,ORC5,1.0
ABCD2,PEX19,1.0
ABCD2,POP4,1.0
ABCD2,VPS11,1.0
ABCD2,VPS28,1.0
ABCD2,WARS2,1.0
ABCD3,BRF2,1.0
ABCD3,C1GALT1,1.0
ABCD3,C20orf24,1.0
ABCD3,CLN3,1.0
ABCD3,COL6A2,1.0
ABCD3,GCDH,1.0
ABCD3,GIPC1,1.0
ABCD3,GTPBP2,1.0
ABCD3,MEST,1.0
ABCD3,MLF2,1.0
ABCD3,PELO,1.0
ABCD3,PEX19,1.0
ABCD3,PGRMC1,1.0
ABCD3,PHYH,1.0
ABCD3,PTP4A3,1.0
ABCD3,RAD51,1.0
ABCD3,UBE2K,1.0
ABCD3,UBR7,1.0
ABCD3,USP32,1.0
ABCD3,USP50,1.0
ABCD3,ZFYVE20,1.0
ABCD4,PEA15,1.0
ABCD4,TMEM66,1.0
ABCD4,XRCC6,1.0
ABCE1,AHCY,1.0
ABCE1,ATG9A,1.0
ABCE1,CBS,1.0
ABCE1,DDX18,1.0
ABCE1,DDX27,1.0
ABCE1,DDX31,1.0
ABCE1,DHX15,1.0
ABCE1,DKC1,1.0
ABCE1,EIF2S1,1.0
ABCE1,EIF2S2,1.0
ABCE1,EIF3A,1.0
ABCE1,EIF3B,1.0
ABCE1,EIF3F,1.0
ABCE1,EIF3G,1.0
ABCE1,EIF3H,1.0
ABCE1,EIF3I,1.0
ABCE1,EIF4A1,1.0
ABCE1,EIF4E,1.0
ABCE1,EIF5,1.0
ABCE1,EIF6,1.0
ABCE1,ETF1,1.0
ABCE1,GH1,1.0
ABCE1,GTPBP4,1.0
ABCE1,HIST1H2BL,1.0
ABCE1,IDE,1.0
ABCE1,ISCA1,1.0
ABCE1,KIAA0020,1.0
ABCE1,KPNA6,1.0
ABCE1,KPNB1,1.0
ABCE1,KRR1,1.0
ABCE1,MRPL12,1.0
ABCE1,NAT10,1.0
ABCE1,NME2,1.0
ABCE1,NOC2L,1.0
ABCE1,NOL10,1.0
ABCE1,NOL6,1.0
ABCE1,NOP58,1.0
ABCE1,PDCD11,1.0
ABCE1,PES1,1.0
ABCE1,PGD,1.0
ABCE1,PPAN,1.0
ABCE1,PWP1,1.0
ABCE1,RAN,1.0
ABCE1,RBM34,1.0
ABCE1,RNASE2,1.0
ABCE1,RNASEL,1.0
ABCE1,RPF2,1.0
ABCE1,RPL4,1.0
ABCE1,RRP12,1.0
ABCE1,SLC25A6,1.0
ABCE1,SUPT5H,1.0
ABCE1,TRAF6,1.0
ABCE1,TRRAP,1.0
ABCE1,TSR1,1.0
ABCE1,UBC,1.0
ABCE1,USP50,1.0
ABCE1,UTP20,1.0
ABCE1,WDR12,1.0
ABCE1,WDR46,1.0
ABCF1,EIF6,1.0
ABCF1,ITGB3BP,1.0
ABCF1,LYAR,1.0
ABCF1,PINX1,1.0
ABCF1,PRKAB1,1.0
ABCF2,ATP6V1H,1.0
ABCF3,ACIN1,1.0
ABCF3,ARFGEF1,1.0
ABCF3,C4orf14,1.0
ABCF3,CAP2,1.0
ABCF3,CCT4,1.0
ABCF3,CNDP2,1.0
ABCF3,CSE1L,1.0
ABCF3,DDX6,1.0
ABCF3,DNAJA2,1.0
ABCF3,DNALI1,1.0
ABCF3,EEF2,1.0
ABCF3,ERCC2,1.0
ABCF3,GCN1L1,1.0
ABCF3,GFPT2,1.0
ABCF3,GNB2L1,1.0
ABCF3,HIRIP3,1.0
ABCF3,HSP90B1,1.0
ABCF3,HSPD1,1.0
ABCF3,IDH3A,1.0
ABCF3,IPO4,1.0
ABCF3,LAMTOR1,1.0
ABCF3,MAT1A,1.0
ABCF3,MOCS2,1.0
ABCF3,POLR1B,1.0
ABCF3,POLR2B,1.0
ABCF3,PSMC2,1.0
ABCF3,PSMC4,1.0
ABCF3,PSMC5,1.0
ABCF3,PSMD4,1.0
ABCF3,RAD51,1.0
ABCF3,RAD52,1.0
ABCF3,RPA1,1.0
ABCF3,SHMT1,1.0
ABCF3,SLC35E1,1.0
ABCF3,SPP1,1.0
ABCF3,SRRM2,1.0
ABCF3,TADA2B,1.0
ABCF3,TBPL1,1.0
ABCF3,TNPO1,1.0
ABCF3,TOE1,1.0
ABCF3,WDR82,1.0
ABCG1,ABCG4,1.0
ABCG1,ABCG5,1.0
ABCG2,CSNK1G2,1.0
ABCG2,PIM1,1.0
ABCG2,UBC,1.0
ABCG5,ABCG8,1.0
ABCG5,NCK1,1.0
ABCG5,PIK3R1,1.0
ABHD10,H2AFX,1.0
ABHD10,SQSTM1,1.0
ABHD11,SPON1,1.0
ABHD13,GPSM2,1.0
ABHD13,SSRP1,1.0
ABHD13,TGM2,1.0
ABHD13,TMEM85,1.0
ABHD14B,ECHS1,1.0
ABHD14B,SH3GL3,1.0
ABHD16A,ATP5G2,1.0
ABHD16A,ATP5G3,1.0
ABHD16A,COX2,1.0
ABHD16A,DNAJC1,1.0
ABHD16A,GPRC5C,1.0
ABHD16A,HM13,1.0
ABHD16A,HNRNPA1,1.0
ABHD16A,IFITM1,1.0
ABHD16A,MLH1,1.0
ABHD16A,ND3,1.0
ABHD16A,ND4,1.0
ABHD16A,ND4L,1.0
ABHD16A,PILRB,1.0
ABHD16A,PTGS2,1.0
