u,v,weight
SPTBN2,HLA-DQA2,1.0
SPTBN2,HLA-DQB1,1.0
SPTBN2,HLA-DRB5,1.0
SPTBN2,SCN2A,1.0
SPTBN2,KIF3B,1.0
SPTBN2,NRCAM,1.0
SPTBN2,PTPRA,1.0
SPTBN2,BET1L,1.0
SPTBN2,KCNQ3,1.0
SPTBN2,KLC3,1.0
SPTBN2,DYNLL1,1.0
SPTBN2,SCN3B,1.0
SPTBN2,GOLGB1,1.0
SPTBN2,FOLR1,1.0
SPTBN2,KIF20A,1.0
SPTBN2,HLA-DRA,1.0
SPTBN2,CD59,1.0
SPTBN2,DYNC1I2,1.0
SPTBN2,INS,1.0
SPTBN2,NSF,1.0
SPTBN2,KIF2A,1.0
SPTBN2,KIF3A,1.0
SPTBN2,SCN9A,1.0
SPTBN2,SCN7A,1.0
SPTBN2,KDELR3,1.0
SPTBN2,RAB1A,1.0
SPTBN2,SOS1,1.0
SPTBN2,KIF4B,1.0
SPTBN2,KIF26A,1.0
SPTBN2,HLA-DOB,1.0
SPTBN2,HLA-DQB2,1.0
SPTBN2,SCN10A,1.0
SPTBN2,HLA-DPA1,1.0
SPTBN2,SCN4A,1.0
SPTBN2,SCN1B,1.0
SPTBN2,COG6,1.0
SPTBN2,HLA-DMB,1.0
SPTBN2,KLC2,1.0
SPTBN2,CAPZB,1.0
SPTBN2,COPG2,1.0
SPTBN2,RACGAP1,1.0
SPTBN2,TMED7,1.0
SPTBN2,HRAS,1.0
SPTBN2,HLA-DPB1,1.0
SPTBN2,DCTN2,1.0
SPTBN2,KIF5A,1.0
SPTBN2,SCN5A,1.0
SPTBN2,DCTN4,1.0
SPTBN2,KLC1,1.0
SPTBN2,GOLGA2,1.0
SPTBN2,ARFGAP2,1.0
SPTBN2,ARF1,1.0
SPTBN2,USO1,1.0
SPTBN2,COPZ1,1.0
SPTBN2,SPTB,1.0
SPTBN2,DYNLL2,1.0
SPTBN2,NCAM1,1.0
SPTBN2,COPZ2,1.0
SPTBN2,NAPB,1.0
KIF22,DCTN6,1.0
KIF22,HLA-DOA,1.0
KIF22,COPB1,1.0
KIF22,ACTR10,1.0
KIF22,ARF3,1.0
KIF22,DYNC1LI2,1.0
KIF22,KDELR2,1.0
KIF22,DCTN3,1.0
KIF22,KLC4,1.0
KIF22,KIF23,1.0
KIF22,KIF11,1.0
KIF22,TMED2,1.0
KIF22,COPE,1.0
KIF22,CAPZA1,1.0
KIF22,KIF18A,1.0
KIF22,ARFGAP3,1.0
KIF22,ARCN1,1.0
KIF22,KIF3C,1.0
KIF22,RAB7A,1.0
KIF22,CENPE,1.0
KIF22,KIF2B,1.0
KIF22,DYNC1LI1,1.0
KIF22,ACTR1B,1.0
KIF22,TMED3,1.0
KIF22,DCTN5,1.0
KIF22,RILP,1.0
KIF22,TMED10,1.0
KIF22,ARF4,1.0
KIF22,KIF5B,1.0
KIF22,RAB1B,1.0
KIF22,ARFGAP1,1.0
KIF22,DYNC1I1,1.0
KIF22,OSBPL1A,1.0
KIF22,KIF15,1.0
KIF22,COPG1,1.0
KIF22,CAPZA3,1.0
KIF22,COPB2,1.0
KIF22,KDELR1,1.0
KIF22,TMED9,1.0
KIF22,HLA-DQA1,1.0
KIF22,DYNC1H1,1.0
KIF22,HLA-DRB1,1.0
KIF22,KIFAP3,1.0
KIF22,DCTN1,1.0
KIF22,CAPZA2,1.0
KIF22,COPA,1.0
KIF22,ACTR1A,1.0
KIF22,GBF1,1.0
KIF22,KIF2C,1.0
KIF22,KIF4A,1.0
KIF22,HLA-DMA,1.0
KIF22,HLA-DQA2,1.0
KIF22,HLA-DQB1,1.0
KIF22,HLA-DRB5,1.0
KIF22,KIF3B,1.0
KIF22,KLC3,1.0
KIF22,DYNLL1,1.0
KIF22,KIF20A,1.0
KIF22,HLA-DRA,1.0
KIF22,DYNC1I2,1.0
KIF22,KIF2A,1.0
KIF22,KIF3A,1.0
KIF22,KDELR3,1.0
KIF22,RAB1A,1.0
KIF22,KIF4B,1.0
KIF22,KIF26A,1.0
KIF22,HLA-DOB,1.0
KIF22,HLA-DQB2,1.0
KIF22,HLA-DPA1,1.0
KIF22,HLA-DMB,1.0
KIF22,KLC2,1.0
KIF22,CAPZB,1.0
KIF22,COPG2,1.0
KIF22,RACGAP1,1.0
KIF22,TMED7,1.0
KIF22,HLA-DPB1,1.0
KIF22,DCTN2,1.0
KIF22,KIF5A,1.0
KIF22,DCTN4,1.0
KIF22,KLC1,1.0
KIF22,ARFGAP2,1.0
KIF22,ARF1,1.0
KIF22,COPZ1,1.0
KIF22,DYNLL2,1.0
KIF22,COPZ2,1.0
KIF22,KIF13B,1.0
KIF22,ZW10,1.0
KIF22,BNIP1,1.0
KIF22,RINT1,1.0
KIF22,USE1,1.0
KIF22,KIF1B,1.0
KIF22,NBAS,1.0
KIF22,KIF6,1.0
KIF22,KIF27,1.0
KIF22,KIFC2,1.0
KIF22,STX18,1.0
KIF22,KIF1C,1.0
KIF22,KIF9,1.0
KIF22,KIF21A,1.0
KIF22,KIF20B,1.0
KIF22,SURF4,1.0
KIF22,KIF12,1.0
KIF22,KIF19,1.0
KIF22,KIF16B,1.0
KIF22,KIF26B,1.0
KIF22,KIF25,1.0
KIF22,KIFC1,1.0
KIF22,KIF21B,1.0
KIF22,KIF1A,1.0
KIF22,SEC22B,1.0
KIF22,KIF18B,1.0
KIF22,AURKA,1.0
KIF22,NCAPH,1.0
KIF22,TPX2,1.0
KIF22,AURKB,1.0
KIF22,CDC20,1.0
KIF22,CDCA8,1.0
KIF22,PRC1,1.0
DCTN6,BET1,1.0
DCTN6,YKT6,1.0
DCTN6,GOSR2,1.0
DCTN6,GOSR1,1.0
DCTN6,HLA-DOA,1.0
DCTN6,COPB1,1.0
DCTN6,ACTR10,1.0
DCTN6,ARF3,1.0
DCTN6,DYNC1LI2,1.0
DCTN6,COG3,1.0
DCTN6,KDELR2,1.0
DCTN6,DCTN3,1.0
DCTN6,KLC4,1.0
DCTN6,KIF23,1.0
DCTN6,KIF11,1.0
DCTN6,TMED2,1.0
DCTN6,COPE,1.0
DCTN6,CAPZA1,1.0
DCTN6,KIF18A,1.0
DCTN6,ARFGAP3,1.0
DCTN6,SPTBN4,1.0
DCTN6,ARCN1,1.0
DCTN6,KIF3C,1.0
DCTN6,RAB7A,1.0
DCTN6,CENPE,1.0
DCTN6,ANK1,1.0
DCTN6,TMEM115,1.0
DCTN6,KIF2B,1.0
DCTN6,DYNC1LI1,1.0
DCTN6,ANK3,1.0
DCTN6,ACTR1B,1.0
DCTN6,STX5,1.0
DCTN6,COG5,1.0
DCTN6,TMED3,1.0
DCTN6,COG1,1.0
DCTN6,DCTN5,1.0
DCTN6,RILP,1.0
DCTN6,TMED10,1.0
DCTN6,COG7,1.0
DCTN6,COG8,1.0
DCTN6,ARF4,1.0
DCTN6,KIF5B,1.0
DCTN6,RAB1B,1.0
DCTN6,GORASP1,1.0
DCTN6,ARFGAP1,1.0
DCTN6,COG4,1.0
DCTN6,SPTBN5,1.0
DCTN6,DYNC1I1,1.0
DCTN6,OSBPL1A,1.0
DCTN6,KIF15,1.0
DCTN6,COPG1,1.0
DCTN6,CAPZA3,1.0
DCTN6,COPB2,1.0
DCTN6,KDELR1,1.0
DCTN6,TMED9,1.0
DCTN6,HLA-DQA1,1.0
DCTN6,DYNC1H1,1.0
DCTN6,SPTBN1,1.0
DCTN6,ANK2,1.0
DCTN6,ACTB,1.0
DCTN6,HLA-DRB1,1.0
DCTN6,KIFAP3,1.0
DCTN6,DCTN1,1.0
DCTN6,CAPZA2,1.0
DCTN6,COG2,1.0
DCTN6,CD55,1.0
DCTN6,COPA,1.0
DCTN6,SPTA1,1.0
DCTN6,ACTR1A,1.0
DCTN6,GBF1,1.0
DCTN6,KIF2C,1.0
DCTN6,SPTAN1,1.0
DCTN6,KIF4A,1.0
DCTN6,HLA-DMA,1.0
DCTN6,HLA-DQA2,1.0
DCTN6,HLA-DQB1,1.0
DCTN6,HLA-DRB5,1.0
DCTN6,KIF3B,1.0
DCTN6,BET1L,1.0
DCTN6,KLC3,1.0
DCTN6,DYNLL1,1.0
DCTN6,GOLGB1,1.0
DCTN6,FOLR1,1.0
DCTN6,KIF20A,1.0
DCTN6,HLA-DRA,1.0
DCTN6,CD59,1.0
DCTN6,DYNC1I2,1.0
DCTN6,INS,1.0
DCTN6,KIF2A,1.0
DCTN6,KIF3A,1.0
DCTN6,KDELR3,1.0
DCTN6,RAB1A,1.0
DCTN6,KIF4B,1.0
DCTN6,KIF26A,1.0
DCTN6,HLA-DOB,1.0
DCTN6,HLA-DQB2,1.0
DCTN6,HLA-DPA1,1.0
DCTN6,COG6,1.0
DCTN6,HLA-DMB,1.0
DCTN6,KLC2,1.0
DCTN6,CAPZB,1.0
DCTN6,COPG2,1.0
DCTN6,RACGAP1,1.0
DCTN6,TMED7,1.0
DCTN6,HLA-DPB1,1.0
